67, 76
69, 96
76, 67
79, 97
96, 69
97, 79
102, 201
103, 301
104, 401
105, 501
106, 601
107, 701
108, 801
109, 901
112, 211
122, 221
123, 321
124, 421
125, 521
126, 621
127, 721
128, 821
129, 921
132, 231
133, 331
134, 431
135, 531
136, 631
137, 731
138, 831
139, 931
142, 241
143, 341
144, 441
145, 541
146, 641
147, 741
148, 841
149, 941
152, 251
153, 351
154, 451
155, 551
156, 651
157, 751
158, 851
159, 951
162, 261
163, 361
164, 461
165, 561
166, 661
167, 176
167, 671
167, 761
168, 861
169, 196
169, 691
169, 961
172, 271
173, 371
174, 471
175, 571
176, 167
176, 671
176, 761
177, 771
178, 871
179, 197
179, 791
179, 971
182, 281
183, 381
184, 481
185, 581
186, 681
187, 781
188, 881
189, 981
192, 291
193, 391
194, 491
195, 591
196, 169
196, 691
196, 961
197, 179
197, 791
197, 971
198, 891
199, 991
201, 102
203, 302
204, 402
205, 502
206, 602
207, 702
208, 802
209, 902
211, 112
221, 122
223, 322
224, 422
225, 522
226, 622
227, 722
228, 822
229, 922
231, 132
233, 332
234, 432
235, 532
236, 632
237, 732
238, 832
239, 932
241, 142
243, 342
244, 442
245, 542
246, 642
247, 742
248, 842
249, 942
251, 152
253, 352
254, 452
255, 552
256, 652
257, 752
258, 852
259, 952
261, 162
263, 362
264, 462
265, 562
266, 662
267, 276
267, 672
267, 762
268, 862
269, 296
269, 692
269, 962
271, 172
273, 372
274, 472
275, 572
276, 267
276, 672
276, 762
277, 772
278, 872
279, 297
279, 792
279, 972
281, 182
283, 382
284, 482
285, 582
286, 682
287, 782
288, 882
289, 982
291, 192
293, 392
294, 492
295, 592
296, 269
296, 692
296, 962
297, 279
297, 792
297, 972
298, 892
299, 992
301, 103
302, 203
304, 403
305, 503
306, 603
307, 703
308, 803
309, 903
321, 123
322, 223
324, 423
325, 523
326, 623
327, 723
328, 823
329, 923
331, 133
332, 233
334, 433
335, 533
336, 633
337, 733
338, 833
339, 933
341, 143
342, 243
344, 443
345, 543
346, 643
347, 743
348, 843
349, 943
351, 153
352, 253
354, 453
355, 553
356, 653
357, 753
358, 853
359, 953
361, 163
362, 263
364, 463
365, 563
366, 663
367, 376
367, 673
367, 763
368, 863
369, 396
369, 693
369, 963
371, 173
372, 273
374, 473
375, 573
376, 367
376, 673
376, 763
377, 773
378, 873
379, 397
379, 793
379, 973
381, 183
382, 283
384, 483
385, 583
386, 683
387, 783
388, 883
389, 983
391, 193
392, 293
394, 493
395, 593
396, 369
396, 693
396, 963
397, 379
397, 793
397, 973
398, 893
399, 993
401, 104
402, 204
403, 304
405, 504
406, 604
407, 704
408, 804
409, 904
416, 614
417, 714
419, 914
421, 124
422, 224
423, 324
425, 524
426, 624
427, 724
428, 824
429, 924
431, 134
432, 234
433, 334
435, 534
436, 634
437, 734
438, 834
439, 934
441, 144
442, 244
443, 344
445, 544
446, 644
447, 744
448, 844
449, 944
451, 154
452, 254
453, 354
455, 554
456, 654
457, 754
458, 854
459, 954
461, 164
462, 264
463, 364
465, 564
466, 664
467, 476
467, 674
467, 764
468, 864
469, 496
469, 694
469, 964
471, 174
472, 274
473, 374
475, 574
476, 467
476, 674
476, 764
477, 774
478, 874
479, 497
479, 794
479, 974
481, 184
482, 284
483, 384
485, 584
486, 684
487, 784
488, 884
489, 984
491, 194
492, 294
493, 394
495, 594
496, 469
496, 694
496, 964
497, 479
497, 794
497, 974
498, 894
499, 994
501, 105
502, 205
503, 305
504, 405
506, 605
507, 705
508, 805
509, 905
521, 125
522, 225
523, 325
524, 425
526, 625
527, 725
528, 825
529, 925
531, 135
532, 235
533, 335
534, 435
536, 635
537, 735
538, 835
539, 935
541, 145
542, 245
543, 345
544, 445
546, 645
547, 745
548, 845
549, 945
551, 155
552, 255
553, 355
554, 455
556, 655
557, 755
558, 855
559, 955
561, 165
562, 265
563, 365
564, 465
566, 665
567, 576
567, 675
567, 765
568, 865
569, 596
569, 695
569, 965
571, 175
572, 275
573, 375
574, 475
576, 567
576, 675
576, 765
577, 775
578, 875
579, 597
579, 795
579, 975
581, 185
582, 285
583, 385
584, 485
586, 685
587, 785
588, 885
589, 985
591, 195
592, 295
593, 395
594, 495
596, 569
596, 695
596, 965
597, 579
597, 795
597, 975
598, 895
599, 995
601, 106
602, 206
603, 306
604, 406
605, 506
607, 706
608, 806
609, 906
614, 416
617, 716
619, 916
621, 126
622, 226
623, 326
624, 426
